[20170113140611.012]0x00000002: 20170113140611.012, 35.523147, -98.980762, 26 #position(time_stamp, lat, lon, ttff)
[20170113140612.014]0x00000002: 20170113140612.014, 35.523162, -98.980633, 26 #position(time_stamp, lat, lon, ttff)
[20170113140613.011]0x00000002: 20170113140613.011, 35.523162, -98.980503, 26 #position(time_stamp, lat, lon, ttff)
[20170113140614.010]0x00000002: 20170113140614.010, 35.523163, -98.980378, 26 #position(time_stamp, lat, lon, ttff)
[20170113140615.011]0x00000002: 20170113140615.011, 35.523158, -98.980252, 26 #position(time_stamp, lat, lon, ttff)
[20170113140616.011]0x00000002: 20170113140616.011, 35.523138, -98.980123, 26 #position(time_stamp, lat, lon, ttff)
[20170113140617.011]0x00000002: 20170113140617.011, 35.523123, -98.979988, 26 #position(time_stamp, lat, lon, ttff)
[20170113140618.014]0x00000002: 20170113140618.014, 35.523120, -98.979853, 26 #position(time_stamp, lat, lon, ttff)
[20170113140619.010]0x00000002: 20170113140619.010, 35.523108, -98.979738, 26 #position(time_stamp, lat, lon, ttff)
[20170113140620.011]0x00000002: 20170113140620.011, 35.523110, -98.979612, 26 #position(time_stamp, lat, lon, ttff)
[20170113140621.011]0x00000002: 20170113140621.011, 35.523115, -98.979473, 26 #position(time_stamp, lat, lon, ttff)
[20170113140622.011]0x00000002: 20170113140622.011, 35.523120, -98.979347, 26 #position(time_stamp, lat, lon, ttff)
[20170113140623.012]0x00000002: 20170113140623.012, 35.523115, -98.979223, 26 #position(time_stamp, lat, lon, ttff)
[20170113140624.014]0x00000002: 20170113140624.014, 35.523117, -98.979100, 26 #position(time_stamp, lat, lon, ttff)
[20170113140625.009]0x00000002: 20170113140625.009, 35.523113, -98.978978, 26 #position(time_stamp, lat, lon, ttff)
[20170113140626.011]0x00000002: 20170113140626.011, 35.523110, -98.978857, 26 #position(time_stamp, lat, lon, ttff)
[20170113140627.010]0x00000002: 20170113140627.010, 35.523100, -98.978740, 26 #position(time_stamp, lat, lon, ttff)
[20170113140628.011]0x00000002: 20170113140628.011, 35.523093, -98.978623, 26 #position(time_stamp, lat, lon, ttff)
[20170113140629.012]0x00000002: 20170113140629.012, 35.523087, -98.978505, 26 #position(time_stamp, lat, lon, ttff)
[20170113140630.014]0x00000002: 20170113140630.014, 35.523080, -98.978387, 26 #position(time_stamp, lat, lon, ttff)
[20170113140631.011]0x00000002: 20170113140631.011, 35.523078, -98.978263, 26 #position(time_stamp, lat, lon, ttff)
[20170113140632.010]0x00000002: 20170113140632.010, 35.523075, -98.978140, 26 #position(time_stamp, lat, lon, ttff)
[20170113140633.010]0x00000002: 20170113140633.010, 35.523077, -98.978018, 26 #position(time_stamp, lat, lon, ttff)
[20170113140634.010]0x00000002: 20170113140634.010, 35.523077, -98.977887, 26 #position(time_stamp, lat, lon, ttff)
[20170113140635.012]0x00000002: 20170113140635.012, 35.523077, -98.977757, 26 #position(time_stamp, lat, lon, ttff)
[20170113140636.013]0x00000002: 20170113140636.013, 35.523082, -98.977627, 26 #position(time_stamp, lat, lon, ttff)
[20170113140637.011]0x00000002: 20170113140637.011, 35.523077, -98.977497, 26 #position(time_stamp, lat, lon, ttff)
[20170113140638.010]0x00000002: 20170113140638.010, 35.523075, -98.977365, 26 #position(time_stamp, lat, lon, ttff)
[20170113140639.010]0x00000002: 20170113140639.010, 35.523095, -98.977233, 26 #position(time_stamp, lat, lon, ttff)
[20170113140639.909]0x00000002: 20170113140639.909, 35.523087, -98.977110, 26 #position(time_stamp, lat, lon, ttff)
[20170113140640.908]0x00000002: 20170113140640.908, 35.523090, -98.976985, 26 #position(time_stamp, lat, lon, ttff)
[20170113140642.012]0x00000002: 20170113140642.012, 35.523095, -98.976858, 26 #position(time_stamp, lat, lon, ttff)
[20170113140642.909]0x00000002: 20170113140642.909, 35.523098, -98.976733, 26 #position(time_stamp, lat, lon, ttff)
[20170113140643.912]0x00000002: 20170113140643.912, 35.523105, -98.976615, 26 #position(time_stamp, lat, lon, ttff)
[20170113140645.013]0x00000002: 20170113140645.013, 35.523108, -98.976508, 26 #position(time_stamp, lat, lon, ttff)
[20170113140646.013]0x00000002: 20170113140646.013, 35.523113, -98.976412, 26 #position(time_stamp, lat, lon, ttff)
[20170113140646.910]0x00000002: 20170113140646.910, 35.523112, -98.976335, 26 #position(time_stamp, lat, lon, ttff)
[20170113140648.013]0x00000002: 20170113140648.013, 35.523115, -98.976283, 26 #position(time_stamp, lat, lon, ttff)
[20170113140649.010]0x00000002: 20170113140649.010, 35.523117, -98.976250, 26 #position(time_stamp, lat, lon, ttff)
[20170113140650.011]0x00000002: 20170113140650.011, 35.523115, -98.976223, 26 #position(time_stamp, lat, lon, ttff)
[20170113140650.907]0x00000002: 20170113140650.907, 35.523105, -98.976198, 26 #position(time_stamp, lat, lon, ttff)
[20170113140652.011]0x00000002: 20170113140652.011, 35.523085, -98.976173, 26 #position(time_stamp, lat, lon, ttff)
[20170113140653.009]0x00000002: 20170113140653.009, 35.523055, -98.976150, 26 #position(time_stamp, lat, lon, ttff)
[20170113140653.913]0x00000002: 20170113140653.913, 35.523015, -98.976138, 26 #position(time_stamp, lat, lon, ttff)
[20170113140655.009]0x00000002: 20170113140655.009, 35.522970, -98.976137, 26 #position(time_stamp, lat, lon, ttff)
[20170113140656.009]0x00000002: 20170113140656.009, 35.522920, -98.976140, 26 #position(time_stamp, lat, lon, ttff)
[20170113140657.010]0x00000002: 20170113140657.010, 35.522863, -98.976145, 26 #position(time_stamp, lat, lon, ttff)
[20170113140658.011]0x00000002: 20170113140658.011, 35.522802, -98.976142, 26 #position(time_stamp, lat, lon, ttff)
[20170113140659.012]0x00000002: 20170113140659.012, 35.522725, -98.976132, 26 #position(time_stamp, lat, lon, ttff)
[20170113140700.015]0x00000002: 20170113140700.015, 35.522650, -98.976120, 26 #position(time_stamp, lat, lon, ttff)
[20170113140701.011]0x00000002: 20170113140701.011, 35.522572, -98.976117, 26 #position(time_stamp, lat, lon, ttff)
[20170113140702.011]0x00000002: 20170113140702.011, 35.522492, -98.976120, 26 #position(time_stamp, lat, lon, ttff)
[20170113140703.008]0x00000002: 20170113140703.008, 35.522408, -98.976122, 26 #position(time_stamp, lat, lon, ttff)
[20170113140704.010]0x00000002: 20170113140704.010, 35.522318, -98.976123, 26 #position(time_stamp, lat, lon, ttff)
[20170113140705.011]0x00000002: 20170113140705.011, 35.522228, -98.976123, 26 #position(time_stamp, lat, lon, ttff)
[20170113140706.014]0x00000002: 20170113140706.014, 35.522140, -98.976123, 26 #position(time_stamp, lat, lon, ttff)
[20170113140707.011]0x00000002: 20170113140707.011, 35.522050, -98.976128, 26 #position(time_stamp, lat, lon, ttff)
[20170113140708.011]0x00000002: 20170113140708.011, 35.521952, -98.976135, 26 #position(time_stamp, lat, lon, ttff)
[20170113140709.011]0x00000002: 20170113140709.011, 35.521855, -98.976145, 26 #position(time_stamp, lat, lon, ttff)
[20170113140710.011]0x00000002: 20170113140710.011, 35.521753, -98.976150, 26 #position(time_stamp, lat, lon, ttff)
